"","u","v","power","f2","sig.level","n"
"1",1,62,0.0499999999999999,0,0.05,"64"
"2",1,62,0.0955813631636465,0.0151515151515152,0.05,"64"
"3",1,62,0.142695532196127,0.0303030303030303,0.05,"64"
"4",1,62,0.190570629387777,0.0454545454545455,0.05,"64"
"5",1,62,0.238554535476055,0.0606060606060606,0.05,"64"
"6",1,62,0.286103853809352,0.0757575757575758,0.05,"64"
"7",1,62,0.332772904670787,0.0909090909090909,0.05,"64"
"8",1,62,0.378203008866009,0.106060606060606,0.05,"64"
"9",1,62,0.422112239732828,0.121212121212121,0.05,"64"
"10",1,62,0.464285778730868,0.136363636363636,0.05,"64"
"11",1,62,0.504566949056183,0.151515151515152,0.05,"64"
"12",1,62,0.542848982671334,0.166666666666667,0.05,"64"
"13",1,62,0.579067516959119,0.181818181818182,0.05,"64"
"14",1,62,0.613193838631859,0.196969696969697,0.05,"64"
"15",1,62,0.645228837227844,0.212121212121212,0.05,"64"
"16",1,62,0.675197648282492,0.227272727272727,0.05,"64"
"17",1,62,0.703144929066583,0.242424242424242,0.05,"64"
"18",1,62,0.729130740935614,0.257575757575758,0.05,"64"
"19",1,62,0.753226977414294,0.272727272727273,0.05,"64"
"20",1,62,0.775514293274248,0.287878787878788,0.05,"64"
"21",1,62,0.796079490837933,0.303030303030303,0.05,"64"
"22",1,62,0.815013305038998,0.318181818181818,0.05,"64"
"23",1,62,0.832408557256809,0.333333333333333,0.05,"64"
"24",1,62,0.84835862585691,0.348484848484848,0.05,"64"
"25",1,62,0.862956198264525,0.363636363636364,0.05,"64"
"26",1,62,0.876292268076942,0.378787878787879,0.05,"64"
"27",1,62,0.888455343677872,0.393939393939394,0.05,"64"
"28",1,62,0.899530843005696,0.409090909090909,0.05,"64"
"29",1,62,0.909600637538133,0.424242424242424,0.05,"64"
"30",1,62,0.918742734630139,0.439393939393939,0.05,"64"
"31",1,62,0.927031067811692,0.454545454545455,0.05,"64"
"32",1,62,0.934535379929887,0.46969696969697,0.05,"64"
"33",1,62,0.941321182237035,0.484848484848485,0.05,"64"
"34",1,62,0.947449775195389,0.5,0.05,"64"
"35",1,62,0.952978318680857,0.515151515151515,0.05,"64"
"36",1,62,0.957959940436513,0.53030303030303,0.05,"64"
"37",1,62,0.962443876925874,0.545454545454545,0.05,"64"
"38",1,62,0.966475631172866,0.560606060606061,0.05,"64"
"39",1,62,0.970097151074256,0.575757575757576,0.05,"64"
"40",1,62,0.973347015562777,0.590909090909091,0.05,"64"
"41",1,62,0.976260626944418,0.606060606060606,0.05,"64"
"42",1,62,0.978870405299844,0.621212121212121,0.05,"64"
"43",1,62,0.981205981992608,0.636363636363636,0.05,"64"
"44",1,62,0.983294389930163,0.651515151515151,0.05,"64"
"45",1,62,0.985160248739441,0.666666666666667,0.05,"64"
"46",1,62,0.986825943456751,0.681818181818182,0.05,"64"
"47",1,62,0.988311795701232,0.696969696969697,0.05,"64"
"48",1,62,0.9896362266104,0.712121212121212,0.05,"64"
"49",1,62,0.99081591107319,0.727272727272727,0.05,"64"
"50",1,62,0.991865922578006,0.742424242424242,0.05,"64"
"51",1,62,0.992799871122363,0.757575757575758,0.05,"64"
"52",1,62,0.993630028034333,0.772727272727273,0.05,"64"
"53",1,62,0.99436744599705,0.787878787878788,0.05,"64"
"54",1,62,0.995022068541681,0.803030303030303,0.05,"64"
"55",1,62,0.99560283167354,0.818181818181818,0.05,"64"
"56",1,62,0.996117757606596,0.833333333333333,0.05,"64"
"57",1,62,0.996574040998316,0.848484848484848,0.05,"64"
"58",1,62,0.996978128096667,0.863636363636364,0.05,"64"
"59",1,62,0.997335789221261,0.878787878787879,0.05,"64"
"60",1,62,0.997652185002845,0.893939393939394,0.05,"64"
"61",1,62,0.997931926801301,0.909090909090909,0.05,"64"
"62",1,62,0.998179131713346,0.924242424242424,0.05,"64"
"63",1,62,0.998397472568365,0.939393939393939,0.05,"64"
"64",1,62,0.998590223295255,0.954545454545455,0.05,"64"
"65",1,62,0.998760300025579,0.96969696969697,0.05,"64"
"66",1,62,0.998910298279429,0.984848484848485,0.05,"64"
"67",1,62,0.999042526560671,1,0.05,"64"
"68",1,62,0.999159036668208,1.01515151515152,0.05,"64"
"69",1,62,0.999261651009814,1.03030303030303,0.05,"64"
"70",1,62,0.999351987185349,1.04545454545455,0.05,"64"
"71",1,62,0.999431480086843,1.06060606060606,0.05,"64"
"72",1,62,0.999501401744376,1.07575757575758,0.05,"64"
"73",1,62,0.999562879128807,1.09090909090909,0.05,"64"
"74",1,62,0.999616910105488,1.10606060606061,0.05,"64"
"75",1,62,0.99966437771701,1.12121212121212,0.05,"64"
"76",1,62,0.999706062957991,1.13636363636364,0.05,"64"
"77",1,62,0.999742655967556,1.15151515151515,0.05,"64"
"78",1,62,0.999774767112409,1.16666666666667,0.05,"64"
"79",1,62,0.999802934746345,1.18181818181818,0.05,"64"
"80",1,62,0.999827634200355,1.1969696969697,0.05,"64"
"81",1,62,0.99984928478008,1.21212121212121,0.05,"64"
"82",1,62,0.999868256189681,1.22727272727273,0.05,"64"
"83",1,62,0.999884874244639,1.24242424242424,0.05,"64"
"84",1,62,0.999899425948556,1.25757575757576,0.05,"64"
"85",1,62,0.99991216400162,1.27272727272727,0.05,"64"
"86",1,62,0.999923310801679,1.28787878787879,0.05,"64"
"87",1,62,0.999933061992674,1.3030303030303,0.05,"64"
"88",1,62,0.999941589609657,1.31818181818182,0.05,"64"
"89",1,62,0.999949044864525,1.33333333333333,0.05,"64"
"90",1,62,0.999955560612029,1.34848484848485,0.05,"64"
"91",1,62,0.999961253531471,1.36363636363636,0.05,"64"
"92",1,62,0.999966226055778,1.37878787878788,0.05,"64"
"93",1,62,0.999970568076243,1.39393939393939,0.05,"64"
"94",1,62,0.999974358448213,1.40909090909091,0.05,"64"
"95",1,62,0.999977666320257,1.42424242424242,0.05,"64"
"96",1,62,0.999980552306914,1.43939393939394,0.05,"64"
"97",1,62,0.999983069522891,1.45454545454545,0.05,"64"
"98",1,62,0.999985264494646,1.46969696969697,0.05,"64"
"99",1,62,0.999987177963503,1.48484848484848,0.05,"64"
"100",1,62,0.999988845592868,1.5,0.05,"64"
"101",1,30,0.05,0,0.05,"32"
"102",1,30,0.0718004121993437,0.0151515151515152,0.05,"32"
"103",1,30,0.0940596993879574,0.0303030303030303,0.05,"32"
"104",1,30,0.116679508467363,0.0454545454545455,0.05,"32"
"105",1,30,0.13956865928864,0.0606060606060606,0.05,"32"
"106",1,30,0.16264286151623,0.0757575757575758,0.05,"32"
"107",1,30,0.185824421596307,0.0909090909090909,0.05,"32"
"108",1,30,0.209041947544641,0.106060606060606,0.05,"32"
"109",1,30,0.232230055636124,0.121212121212121,0.05,"32"
"110",1,30,0.25532907105759,0.136363636363636,0.05,"32"
"111",1,30,0.278284736500044,0.151515151515152,0.05,"32"
"112",1,30,0.301047921001256,0.166666666666667,0.05,"32"
"113",1,30,0.323574338939942,0.181818181818182,0.05,"32"
"114",1,30,0.345824267236902,0.196969696969697,0.05,"32"
"115",1,30,0.367762276426161,0.212121212121212,0.05,"32"
"116",1,30,0.389356966416091,0.227272727272727,0.05,"32"
"117",1,30,0.410580710187468,0.242424242424242,0.05,"32"
"118",1,30,0.43140941026222,0.257575757575758,0.05,"32"
"119",1,30,0.451822257189891,0.272727272727273,0.05,"32"
"120",1,30,0.471801503787817,0.287878787878788,0.05,"32"
"121",1,30,0.491332245994055,0.303030303030303,0.05,"32"
"122",1,30,0.5104022138573,0.318181818181818,0.05,"32"
"123",1,30,0.529001572143761,0.333333333333333,0.05,"32"
"124",1,30,0.547122729554992,0.348484848484848,0.05,"32"
"125",1,30,0.564760161803619,0.363636363636364,0.05,"32"
"126",1,30,0.581910235970761,0.378787878787879,0.05,"32"
"127",1,30,0.598571051493139,0.393939393939394,0.05,"32"
"128",1,30,0.614742286629007,0.409090909090909,0.05,"32"
"129",1,30,0.630425054302393,0.424242424242424,0.05,"32"
"130",1,30,0.645621766421117,0.439393939393939,0.05,"32"
"131",1,30,0.660336006399265,0.454545454545455,0.05,"32"
"132",1,30,0.674572409601758,0.46969696969697,0.05,"32"
"133",1,30,0.688336550411678,0.484848484848485,0.05,"32"
"134",1,30,0.701634841355301,0.5,0.05,"32"
"135",1,30,0.71447443034857,0.515151515151515,0.05,"32"
"136",1,30,0.726863113093253,0.53030303030303,0.05,"32"
"137",1,30,0.738809247895716,0.545454545454545,0.05,"32"
"138",1,30,0.750321677364277,0.560606060606061,0.05,"32"
"139",1,30,0.761409655925367,0.575757575757576,0.05,"32"
"140",1,30,0.772082782864254,0.590909090909091,0.05,"32"
"141",1,30,0.782350940601797,0.606060606060606,0.05,"32"
"142",1,30,0.792224237925429,0.621212121212121,0.05,"32"
"143",1,30,0.801712957130385,0.636363636363636,0.05,"32"
"144",1,30,0.810827509246348,0.651515151515151,0.05,"32"
"145",1,30,0.819578386394982,0.666666666666667,0.05,"32"
"146",1,30,0.827976124786841,0.681818181818182,0.05,"32"
"147",1,30,0.836031268152175,0.696969696969697,0.05,"32"
"148",1,30,0.843754335229657,0.712121212121212,0.05,"32"
"149",1,30,0.851155790469967,0.727272727272727,0.05,"32"
"150",1,30,0.858246017742603,0.742424242424242,0.05,"32"
"151",1,30,0.865035296843674,0.757575757575758,0.05,"32"
"152",1,30,0.871533782611847,0.772727272727273,0.05,"32"
"153",1,30,0.877751486468877,0.787878787878788,0.05,"32"
"154",1,30,0.88369826021025,0.803030303030303,0.05,"32"
"155",1,30,0.889383781880414,0.818181818181818,0.05,"32"
"156",1,30,0.894817542924172,0.833333333333333,0.05,"32"
"157",1,30,0.900008840268569,0.848484848484848,0.05,"32"
"158",1,30,0.904966763942379,0.863636363636364,0.05,"32"
"159",1,30,0.90970019211672,0.878787878787879,0.05,"32"
"160",1,30,0.914217784659821,0.893939393939394,0.05,"32"
"161",1,30,0.918527978514745,0.909090909090909,0.05,"32"
"162",1,30,0.922638984233115,0.924242424242424,0.05,"32"
"163",1,30,0.926558783561799,0.939393939393939,0.05,"32"
"164",1,30,0.930295127986116,0.954545454545455,0.05,"32"
"165",1,30,0.933855538139359,0.96969696969697,0.05,"32"
"166",1,30,0.937247303994419,0.984848484848485,0.05,"32"
"167",1,30,0.940477485758992,1,0.05,"32"
"168",1,30,0.943552915401259,1.01515151515152,0.05,"32"
"169",1,30,0.946480198738076,1.03030303030303,0.05,"32"
"170",1,30,0.949265718022587,1.04545454545455,0.05,"32"
"171",1,30,0.951915634972805,1.06060606060606,0.05,"32"
"172",1,30,0.954435894187037,1.07575757575758,0.05,"32"
"173",1,30,0.956832226325713,1.09090909090909,0.05,"32"
"174",1,30,0.959110154372204,1.10606060606061,0.05,"32"
"175",1,30,0.961274994688774,1.12121212121212,0.05,"32"
"176",1,30,0.96333186361697,1.13636363636364,0.05,"32"
"177",1,30,0.965285681640787,1.15151515151515,0.05,"32"
"178",1,30,0.967141178202029,1.16666666666667,0.05,"32"
"179",1,30,0.968902896626682,1.18181818181818,0.05,"32"
"180",1,30,0.970575199135115,1.1969696969697,0.05,"32"
"181",1,30,0.972162271911347,1.21212121212121,0.05,"32"
"182",1,30,0.973668130208985,1.22727272727273,0.05,"32"
"183",1,30,0.975096623473576,1.24242424242424,0.05,"32"
"184",1,30,0.976451440463133,1.25757575757576,0.05,"32"
"185",1,30,0.977736114350467,1.27272727272727,0.05,"32"
"186",1,30,0.978954027792685,1.28787878787879,0.05,"32"
"187",1,30,0.980108417954842,1.3030303030303,0.05,"32"
"188",1,30,0.981202381476193,1.31818181818182,0.05,"32"
"189",1,30,0.982238879368899,1.33333333333333,0.05,"32"
"190",1,30,0.983220741840289,1.34848484848485,0.05,"32"
"191",1,30,0.984150673030961,1.36363636363636,0.05,"32"
"192",1,30,0.98503125566208,1.37878787878788,0.05,"32"
"193",1,30,0.985864955586207,1.39393939393939,0.05,"32"
"194",1,30,0.986654126236924,1.40909090909091,0.05,"32"
"195",1,30,0.987401012973313,1.42424242424242,0.05,"32"
"196",1,30,0.988107756831179,1.43939393939394,0.05,"32"
"197",1,30,0.988776400554532,1.45454545454545,0.05,"32"
"198",1,30,0.98940888979848,1.46969696969697,0.05,"32"
"199",1,30,0.990007078869419,1.48484848484848,0.05,"32"
"200",1,30,0.990572734056586,1.5,0.05,"32"
